%time,field.data
607970000000,0.00428241491318
608020000000,0.00483423471451
608020000000,0.00736224651337
608040000000,0.00613516569138
608070000000,0.00628060102463
608110000000,0.00664114952087
608150000000,0.00749772787094
608200000000,0.00642681121826
608200000000,0.00630939006805
608240000000,0.0063294172287
608240000000,0.0070481300354
608290000000,0.00714498758316
608290000000,0.0059522986412
608290000000,0.00654834508896
608330000000,0.00698971748352
608340000000,0.00617122650146
608380000000,0.00616335868835
608420000000,0.00622147321701
608420000000,0.00633412599564
608470000000,0.00620836019516
608470000000,0.00628113746643
608510000000,0.00599575042725
608560000000,0.00676965713501
608560000000,0.00640845298767
608600000000,0.00640076398849
608610000000,0.00575757026672
608640000000,0.00688344240189
608690000000,0.00772106647491
608690000000,0.0068501830101
608730000000,0.00605744123459
608740000000,0.00613307952881
608740000000,0.00534617900848
608780000000,0.00641453266144
608790000000,0.00645643472672
608830000000,0.00592237710953
608880000000,0.00620925426483
608880000000,0.00715035200119
608920000000,0.00678557157516
608920000000,0.00698757171631
608960000000,0.00599682331085
608960000000,0.00629138946533
609010000000,0.00678157806396
609010000000,0.00538402795792
609050000000,0.00530987977982
609050000000,0.00626015663147
609090000000,0.00723397731781
609090000000,0.00717043876648
609140000000,0.00623333454132
609140000000,0.00639963150024
609180000000,0.00607949495316
609180000000,0.00583952665329
609230000000,0.00594967603683
609230000000,0.0065740942955
609270000000,0.00564366579056
609270000000,0.00597423315048
609280000000,0.00503176450729
609320000000,0.00530332326889
609320000000,0.00513929128647
609340000000,0.00608384609222
609360000000,0.00538289546967
609410000000,0.00566786527634
609410000000,0.00644624233246
609450000000,0.00609529018402
609450000000,0.00596803426743
609500000000,0.00469124317169
609500000000,0.006118953228
609540000000,0.00584405660629
609540000000,0.00548869371414
609590000000,0.00639992952347
609590000000,0.0054560303688
609590000000,0.00376653671265
609630000000,0.00411063432693
609630000000,0.00611484050751
609640000000,0.00438219308853
609660000000,0.00496155023575
609710000000,0.00631481409073
609710000000,0.00509315729141
609750000000,0.00482732057571
609750000000,0.00458765029907
609800000000,0.0039085149765
609800000000,0.0050083398819
609840000000,0.0050522685051
609840000000,0.00535249710083
609880000000,0.00359654426575
609880000000,0.00423693656921
609930000000,0.00403505563736
609930000000,0.00507211685181
609970000000,0.00367456674576
609970000000,0.00344878435135
609970000000,0.00449067354202
610010000000,0.0041538476944
610010000000,0.0032245516777
610030000000,0.00272047519684
610050000000,0.0019571185112
610090000000,0.000429749488831
610090000000,0.000208497047424
610130000000,-0.00130319595337
610130000000,-0.000231623649597
610180000000,-0.000425815582275
610180000000,0.00061309337616
610230000000,0.00411361455917
610230000000,-0.000244736671448
610270000000,0.0041069984436
610270000000,-0.00078296661377
610320000000,-0.000953912734985
610320000000,-0.00260329246521
610320000000,-0.00368773937225
610360000000,-0.00613236427307
610360000000,-0.00800752639771
610370000000,-0.012669801712
610390000000,-0.0128514766693
610430000000,-0.0194615125656
610440000000,-0.0195084810257
610480000000,-0.0272991657257
610480000000,-0.0339192152023
610530000000,-0.040179848671
610530000000,-0.0444276332855
610570000000,-0.0529186725616
610570000000,-0.0547556877136
610610000000,-0.0624725818634
610610000000,-0.0728657245636
610660000000,-0.0774252414703
610660000000,-0.0831428766251
610700000000,-0.0907745361328
610700000000,-0.100577831268
610750000000,-0.109203338623
610750000000,-0.115620613098
610790000000,-0.118421077728
610790000000,-0.12734401226
610790000000,-0.135894298553
610840000000,-0.144589662552
610850000000,-0.151846528053
610890000000,-0.16349709034
610940000000,-0.170541882515
610940000000,-0.179537415504
610940000000,-0.184117555618
610980000000,-0.190091133118
610980000000,-0.198807120323
610990000000,-0.207450032234
611010000000,-0.21284365654
611060000000,-0.216978669167
611060000000,-0.222619533539
611100000000,-0.229586005211
611100000000,-0.23598742485
611150000000,-0.241096377373
611150000000,-0.25135576725
611190000000,-0.258774876595
611190000000,-0.265621423721
611230000000,-0.273140192032
611240000000,-0.278450727463
611280000000,-0.286213636398
611330000000,-0.295082449913
611330000000,-0.303157806396
611370000000,-0.308584451675
611370000000,-0.31470644474
611410000000,-0.318172574043
611410000000,-0.322683572769
611460000000,-0.32512485981
611460000000,-0.332167029381
611500000000,-0.335646390915
611500000000,-0.341199040413
611540000000,-0.345215797424
611540000000,-0.348605871201
611550000000,-0.352807641029
611590000000,-0.356298804283
611590000000,-0.359741806984
611610000000,-0.362391710281
611620000000,-0.366905331612
611670000000,-0.369716525078
611670000000,-0.372449874878
611710000000,-0.37553024292
611710000000,-0.377780199051
611750000000,-0.378881812096
611750000000,-0.382144927979
611800000000,-0.384280800819
611800000000,-0.386970877647
611840000000,-0.387016773224
611840000000,-0.388536930084
611890000000,-0.390483140945
611900000000,-0.390186309814
611940000000,-0.39131128788
611980000000,-0.392966389656
611980000000,-0.394299507141
612030000000,-0.395053982735
612030000000,-0.395308852196
612070000000,-0.395151376724
612070000000,-0.394379258156
612110000000,-0.394215226173
612110000000,-0.394247293472
612120000000,-0.393950939178
612160000000,-0.393792748451
612160000000,-0.393852472305
612170000000,-0.394251942635
612190000000,-0.392425537109
612230000000,-0.392441630363
612280000000,-0.390788316727
612280000000,-0.390593290329
612280000000,-0.388924956322
612320000000,-0.388195872307
612320000000,-0.386952400208
612330000000,-0.38536298275
612350000000,-0.383682370186
612390000000,-0.382016658783
612440000000,-0.380564570427
612440000000,-0.380042314529
612440000000,-0.377220511436
612490000000,-0.375986099243
612490000000,-0.37263405323
612530000000,-0.371226191521
612570000000,-0.36915230751
612570000000,-0.366457462311
612620000000,-0.36307156086
612620000000,-0.361135005951
612660000000,-0.3589001894
612660000000,-0.355533003807
612710000000,-0.353027582169
612710000000,-0.349577307701
612710000000,-0.346642613411
612750000000,-0.344910979271
612750000000,-0.343222022057
612760000000,-0.340537548065
612780000000,-0.336808443069
612830000000,-0.333499193192
612830000000,-0.330354213715
612870000000,-0.328445196152
612870000000,-0.325244784355
612910000000,-0.322363972664
612910000000,-0.318837761879
612960000000,-0.315269589424
612960000000,-0.313239693642
